Employee ID,Name,Department,Feedback,Attrition,Sentiment Score
1,Employee_1,Finance,The work-life balance is terrible.,1,-0.4767
2,Employee_2,Finance,Colleagues are supportive and friendly.,0,0.6597
3,Employee_3,Finance,I need help with some projects,0,0.4019
4,Employee_4,IT,Great leadership and support.,0,0.7783
5,Employee_5,HR,There is no room for growth.,0,0.1027
6,Employee_6,IT,No challenges,0,-0.2263
7,Employee_7,Finance,Great leadership and support.,0,0.7783
8,Employee_8,HR,The work-life balance is terrible.,1,-0.4767
9,Employee_9,Finance,I need help with some projects,1,0.4019
10,Employee_10,HR,Great leadership and support.,1,0.7783
11,Employee_11,IT,I need help with some projects,0,0.4019
12,Employee_12,IT,Workload is overwhelming.,1,0.0
13,Employee_13,Finance,Management listens to our concerns.,0,0.0
14,Employee_14,IT,I need help with some projects,0,0.4019
15,Employee_15,IT,Management listens to our concerns.,0,0.0
16,Employee_16,Marketing,Workload is overwhelming.,0,0.0
17,Employee_17,Marketing,The project is not aligning with my long-term goals,1,0.0
18,Employee_18,Finance,I feel stuck in this role.,1,-0.25
19,Employee_19,HR,Great leadership and support.,0,0.7783
20,Employee_20,Finance,Colleagues are supportive and friendly.,0,0.6597
21,Employee_21,IT,Lack of professional development opportunities.,1,0.0772
22,Employee_22,IT,Flexible working hours make it a great place.,0,0.7184
23,Employee_23,Sales,No challenges,1,-0.2263
24,Employee_24,Finance,Workload is overwhelming.,1,0.0
25,Employee_25,HR,The work-life balance is terrible.,1,-0.4767
26,Employee_26,Marketing,Great leadership and support.,0,0.7783
27,Employee_27,Marketing,Management listens to our concerns.,1,0.0
28,Employee_28,Sales,Great leadership and support.,0,0.7783
29,Employee_29,Marketing,The project is not aligning with my long-term goals,1,0.0
30,Employee_30,HR,Salary increments are too low.,1,-0.2732
31,Employee_31,Finance,No challenges,1,-0.2263
32,Employee_32,IT,"I love working here, the environment is great!",0,0.8622
33,Employee_33,Finance,Colleagues are supportive and friendly.,0,0.6597
34,Employee_34,Finance,Flexible working hours make it a great place.,1,0.7184
35,Employee_35,Marketing,I feel stuck in this role.,1,-0.25
36,Employee_36,Sales,Great leadership and support.,0,0.7783
37,Employee_37,Finance,Lack of professional development opportunities.,1,0.0772
38,Employee_38,Marketing,The work-life balance is terrible.,1,-0.4767
39,Employee_39,Sales,There is no room for growth.,0,0.1027
40,Employee_40,HR,The work-life balance is terrible.,1,-0.4767
41,Employee_41,Finance,There is no room for growth.,1,0.1027
42,Employee_42,IT,Management listens to our concerns.,0,0.0
43,Employee_43,IT,There is no room for growth.,1,0.1027
44,Employee_44,HR,The project is not aligning with my long-term goals,1,0.0
